label,mean,median,variance,max,min,count
unknown,,,,,,0
llm.chat:chat ,841.0253366764357,576.2882199999876,2388594.275655252,16399.720815000124,0.9014179999940097,303
request:01JTJXPC7R6JEXT86G8AR0JDXC processing,12.296247005462646,12.296247005462646,,12.296247005462646,12.296247005462646,1
welcome ,361.97795152052583,111.00453499983996,322685.78780592943,2286.141373999999,105.62000399990939,73
tts google,651.2715845190766,418.0188035003375,330182.0949385389,2423.2492930004373,89.40533199999481,52
request:01JTJXPC7R6JEXT86G8AR0JDXC ended,419.70006799697876,419.70006799697876,,419.70006799697876,419.70006799697876,1
request:01JTJY423Y4882CJQHFHW6ER2A processing,9.557118996977806,9.557118996977806,,9.557118996977806,9.557118996977806,1
request:01JTJY423Y4882CJQHFHW6ER2A ended,87.39190599322319,87.39190599322319,,87.39190599322319,87.39190599322319,1
tts cached,23.786043121007346,22.621071000001393,99.10780228308947,66.3117809999967,3.748024999862537,149
Interaction event START from CAMERA,,,,,,0
request:01JTJYJVFF9TY8Z68YY4JNKGJY processing,6.09977599978447,6.09977599978447,,6.09977599978447,6.09977599978447,1
request:01JTJYJVFF9TY8Z68YY4JNKGJY ended,51.55314600467682,51.55314600467682,,51.55314600467682,51.55314600467682,1
Intent detection event 'end' for userId '1',,,,,,0
Intent detection event 'start' for userId '2',,,,,,0
request:01JTJYN5BHZBVNWWXDM0MN3NYF processing,7.033748999238014,7.033748999238014,,7.033748999238014,7.033748999238014,1
request:01JTJYN5BHZBVNWWXDM0MN3NYF ended,47.76289999485016,47.76289999485016,,47.76289999485016,47.76289999485016,1
Intent detection event 'end' for userId '2',,,,,,0
Interaction event STOP from CAMERA,,,,,,0
request:01JTJYPNV9C0VDGMWDV2WME62X processing,7.699619993567467,7.699619993567467,,7.699619993567467,7.699619993567467,1
request:01JTJYPNV9C0VDGMWDV2WME62X ended,55.896434992551804,55.896434992551804,,55.896434992551804,55.896434992551804,1
request:01JTJYPNN20KA0PY5R0AZ58DQ2 cancelled,611.7521120011806,611.7521120011806,,611.7521120011806,611.7521120011806,1
request:01JTJYPP86F5J204SS39RHS59H processing,10.258451998233795,10.258451998233795,,10.258451998233795,10.258451998233795,1
request:01JTJYPP86F5J204SS39RHS59H ended,148.56700699031353,148.56700699031353,,148.56700699031353,148.56700699031353,1
llm.send:chat::NRC2T openai/gpt-4-turbo,1144.0852649956942,1144.0852649956942,,1144.0852649956942,1144.0852649956942,1
llm.chat ,93.83654731995892,3.403446999960579,94289.92394821654,1152.8171520084143,2.693169999984093,25
translation-translate ,95.29276467999327,5.043596000177786,94248.78824900136,1154.1059760004282,3.758826000004774,25
Intent detection not available,,,,,,0
sentiment_analysis.audio ,3.5339194047586546,0.5083994999295101,821.914221778443,338.23333499999717,0.36845199996605515,388
stt-convert-wavfile ,577.8631148608907,363.79850399994757,906333.3750789756,11282.299965009093,114.9918909999833,388
stt google,1852.578216281302,1118.401320000179,5439402.143099022,20424.70146800019,321.3423960059881,384
llm.embeddings openai/text-embedding-3-small,917.8311688366045,679.6132879998768,658640.4525153005,5297.760263999924,293.5586679999251,208
embeddings.search ,757.6999592736317,651.9572389997193,281473.28396273556,5310.590046000201,313.9165890000295,190
llm.send:chat::H49MB openai/gpt-4-turbo,570.0364520102739,570.0364520102739,,570.0364520102739,570.0364520102739,1
avatar request,5261.789925231546,4296.9383394999895,8993297.002901854,24177.52980899997,403.97460000030696,190
explain.tools,,,,There's no direct match with the provided tools in TOOLS nor does the user's message coincide with any tool description directly. The user's message addresses an issue\, rather than requesting an action covered by the tool descriptions.,Il messaggio dell'utente corrisponde al tool 'Accesso con appuntamento'.,0
explain.filter,,,,The user's statement 'E infatti la lucetta si è spenta qua' appears to be referencing something unrelated to the task at hand or conversation context\, possibly an off-hand comment about something malfunctioning or turning off. It seems irrelevant to the application and does not fit into the conversation about securing access to the building or any of the tools provided.,Although the user's message is slightly confusing\, it appears they are expressing a limitation or inability to perform an action. It is a complete message and relevant in the context of continuing the dialogue and addressing any concerns or limitations the user might express related to the process at Poste Italiane headquarters.,0
explain.intent,,,,USER MESSAGE directly requests an 'appointment with operator'\, which matches and triggers the corresponding task in the TOOLS section.,Although the user is expressing confusion\, they are not directly confirming or declining the proposed task\, nor is there an explicit match with a specific task intent.,0
request:01JTJYPYFNY84BCVEETAW5K34W cancelled,5256.365557998419,5256.365557998419,,5256.365557998419,5256.365557998419,1
request:01JTJYQ3KZVT9M60PG5VX44SXY processing,5.734778001904488,5.734778001904488,,5.734778001904488,5.734778001904488,1
request:01JTJYQ3KZVT9M60PG5VX44SXY ended,50.911730006337166,50.911730006337166,,50.911730006337166,50.911730006337166,1
sentiment_analysis.text ,606.40604039999,549.0566980019212,192719.49240014976,2481.9472890000325,23.05479700001888,115
llm.chat:sentiment ,605.5180234260627,547.8135719969869,192670.05915504103,2481.019256999949,22.228466000175104,115
Intent detection event 'start' for userId '4',,,,,,0
Intent detection event 'end' for userId '4',,,,,,0
request:01JTJYSTB1XW3VXQ644BF9Q7PY processing,19.236360996961594,19.236360996961594,,19.236360996961594,19.236360996961594,1
request:01JTJYSTB1XW3VXQ644BF9Q7PY ended,53.229402989149094,53.229402989149094,,53.229402989149094,53.229402989149094,1
request:01JTJYSTVBHA6BPNGKGG86PFR6 processing,52.63176999986172,52.63176999986172,,52.63176999986172,52.63176999986172,1
Intent detection event 'start' for userId '5',,,,,,0
request:01JTJYSTVBHA6BPNGKGG86PFR6 ended,380.7120789885521,380.7120789885521,,380.7120789885521,380.7120789885521,1
Intent detection event 'end' for userId '5',,,,,,0
Intent detection event 'start' for userId '7',,,,,,0
request:01JTJYV4J5RVGVZ4X6NBKKF40H processing,6.755970999598503,6.755970999598503,,6.755970999598503,6.755970999598503,1
request:01JTJYV4J5RVGVZ4X6NBKKF40H ended,52.276371002197266,52.276371002197266,,52.276371002197266,52.276371002197266,1
Intent detection event 'end' for userId '7',,,,,,0
request:01JTJYV65HZ9BSQ5S13VD5RH3B processing,22.5159609913826,22.5159609913826,,22.5159609913826,22.5159609913826,1
request:01JTJYV65HZ9BSQ5S13VD5RH3B ended,106.19310599565506,106.19310599565506,,106.19310599565506,106.19310599565506,1
Intent detection event 'end' for userId '9',,,,,,0
Intent detection event 'start' for userId '10',,,,,,0
Intent detection event 'end' for userId '10',,,,,,0
request:01JTJYX6BE5C76EH0Q7VKMZ030 cancelled,3.0936779975891113,3.0936779975891113,,3.0936779975891113,3.0936779975891113,1
request:01JTJYX6BHESH541H175HA4R8H processing,53.78985899686813,53.78985899686813,,53.78985899686813,53.78985899686813,1
